	0	1	2	3	4	5	6
0				Media		Historico	
1				230.8538126			
2				230.8538126		Qt produzida	24637.0
3				230.8538126		Abaixo	312.0
4				230.8538126			0.01266387953
5				230.8538126		Media	230.8538126
6				230.8538126		Media x Padrão	1.142840656
7				230.8538126		Excesso kg	710.87138
8				230.8538126		Taxa do excesso	0.1428406562
9				230.8538126		Perdas	3519.165248
10				230.8538126			
11				230.8538126			
12				230.8538126			
13				230.8538126			
14				230.8538126			
15				230.8538126			
16				230.8538126			
17				230.8538126		Escala	
18				230.8538126			0.98
19				230.8538126		X - Inf	198.0
20				230.8538126			1.15
21				230.8538126		X - Sup	232.0
22				230.8538126			
23				230.8538126		Y	10.0
24				230.8538126			2460.0
25				230.8538126			
26				230.8538126			
27				230.8538126			
28				230.8538126			
29				230.8538126			
30				230.8538126			
31				230.8538126			
32				230.8538126			
33				230.8538126			
34				230.8538126			
35				230.8538126			
36				230.8538126			
37				230.8538126			
38				230.8538126			
39				230.8538126			
40				230.8538126			
41				230.8538126			
42				230.8538126			
43				230.8538126			
44				230.8538126			
45				230.8538126			
46				230.8538126			
47				230.8538126			
48				230.8538126			
49				230.8538126			
50				230.8538126			
51				230.8538126			
52				230.8538126			
53				230.8538126			
54				230.8538126			
55				230.8538126			
56				230.8538126			
57				230.8538126			
58				230.8538126			
59				230.8538126			
60				230.8538126			
61				230.8538126			
62				230.8538126			
63				230.8538126			
64				230.8538126			
65				230.8538126			
66				230.8538126			
67				230.8538126			
68				230.8538126			
69				230.8538126			
70				230.8538126			
71				230.8538126			
72				230.8538126			
73				230.8538126			
74				230.8538126			
75				230.8538126			
76				230.8538126			
77				230.8538126			
78				230.8538126			
79				230.8538126			
80				230.8538126			
81				230.8538126			
82				230.8538126			
83				230.8538126			
84				230.8538126			
85				230.8538126			
86				230.8538126			
87				230.8538126			
88				230.8538126			
89				230.8538126			
90				230.8538126			
91				230.8538126			
92				230.8538126			
93				230.8538126			
94				230.8538126			
95				230.8538126			
96				230.8538126			
97				230.8538126			
98				230.8538126			
99				230.8538126			
100				230.8538126			
